ft_facility_code,UTM_lat,UTM_long,latitude,longitude
1000-0000,0601284,8490198,-13.60678104324322,33.93628054539338
1000-0001,0601284,8490198,-13.60678104324322,33.93628054539338
1000-0002,0597090,8501522,-13.504750778011445,33.89713141089816
1000-0003,0590558,8505681,-13.467277643744236,33.83664872462992
1000-0004,0570028,8513648,-13.395493719858253,33.64679332016023
1000-0005,0570028,8513648,-13.395493719858253,33.64679332016023
1000-0006,0578063,8520138,-13.337017683196365,33.72082863084702
1000-0007,0565809,8517791,-13.358164560798274,33.60773378610521
1000-0008,0562396,8525926,-13.284866577321335,33.576043124769384
1000-0009,0555857,8521773,-13.32228596369677,33.515755694190794
1000-0010,0555544,8511560,-13.414306908504628,33.51306022673701
1000-0011,0548035,8508417,-13.442625799290761,33.443753167412815
1000-0012,0555727,8502592,-13.495109812199258,33.514923146299566
1000-0013,0550839,8492585,-13.58527383063205,33.46993557704095
1000-0014,0563068,8491727,-13.593004488758947,33.58299076270081
1000-0015,0565644,8491727,-13.59300449375719,33.60680197895667
1000-0016,0571584,8498027,-13.536240981371174,33.661550711257526
1000-0017,0579757,8503825,-13.484000390171664,33.736917704303
1000-0018,0583910,8488493,-13.622143093273493,33.7757348993294
1000-0019,0594142,8489553,-13.612592484518292,33.870285929690134
1000-0020,0612164,8482379,-13.677230691402427,34.03715282384723
1000-0021,0609696,8478038,-13.716343161702692,34.01450206362687
1000-0022,0633772,8482195,-13.678888833312564,34.23693501919418
1000-0023,0623263,8476434,-13.730795370423795,34.140026958501586
1000-0024,0621979,8481108,-13.688682550549236,34.12795228204629
1000-0025,0615057,8491777,-13.592554275249805,34.06352162574548
1000-0026,0599941,8508773,-13.4394183580392,33.92322226131661
1001-0000,0554346,8611101,-12.517406087848652,33.50020010382884
1001-0001,0549153,8617172,-12.462702830276731,33.45230982478946
1001-0002,0542681,8598234,-12.633344764473916,33.3930137886587
1001-0003,0535418,8604931,-12.573001223909921,33.32605941147724
1001-0004,0541382,8609213,-12.534418029648187,33.380906667962456
1001-0005,0556265,8609442,-12.532354622258302,33.517891887604115
1001-0006,0552945,8596237,-12.6513387706173,33.48755837024871
1001-0007,0573358,8591732,-12.691931116654697,33.67563602382333
1001-0008,0583363,8592434,-12.685605782457484,33.767758853307434
1001-0009,0559492,8587500,-12.730063456753319,33.54801480757596
1001-0010,0533354,8582840,-12.772052207466688,33.30729677338064
1001-0011,0547053,8583702,-12.764285199047245,33.433492874836496
1001-0012,0549162,8576240,-12.831521135436432,33.45304236183088
